评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7261424332474155817,现在是814.7万个赞，48.9万个收藏[呲牙][赞],,11,2023-07-30 09:55:13,Cʜᴀɴɢᴇ1992💋ოᩚ͙王ꦿ先᭄生,https://www.douyin.com/user/MS4wLjABAAAA9mnOhdVz1ueyGkfVXTz9dXsJ_PxOWTaO4epzDlCMEY0,,,7254263026702091040,7254263026702091040,
7261175675251114763,800万了，这个赞就像制墨过程一样，需要时间的验证[泣不成声],,10,2023-07-29 17:50:20,末凡,https://www.douyin.com/user/MS4wLjABAAAAIVEezAOGAf8DSja5QTNdrFILqewG4Yhupa3Q_1pGjB4,,,7254263026702091040,7254263026702091040,
7258632811879826233,终于知道墨的制作过程了，不易[赞][赞][赞][赞][赞][赞][赞][赞][赞],,10,2023-07-22 21:22:41,勤思博悟,https://www.douyin.com/user/MS4wLjABAAAAXLwOw630uNV4qKOBsDLdsU3QIcmIpoZ3eGqHpGqBDgQ,49984880093,,7254263026702091040,7254263026702091040,
7258316051691258682,720w了[白眼],,1,2023-07-22 00:53:52,8+9🟰9+8,https://www.douyin.com/user/MS4wLjABAAAAT2eT2hvCT4I3dRfqVvPS3vYXD_xQ_hcfO_6ml__hyUJFoO6bMd4O3pdwSGBmzMME,74123726254,,7254263026702091040,7254263026702091040,
7256378978801140516,现在已经601.2w攒了，正义从来不会缺席，只会迟到[比心],,6,2023-07-16 19:36:39,杰〆,https://www.douyin.com/user/MS4wLjABAAAAqaPy97BVxaXJRBCe1DwD5tchlKnHsVuEOCjy9gHEMNo,xj13464022106,,7254263026702091040,7254263026702091040,
7256360542934909711,姐姐，光你这条评论都有24万赞,,2,2023-07-16 18:25:06,学不会,https://www.douyin.com/user/MS4wLjABAAAApsGnD8UORNgFGzl3yv1zujXMJCVYIF_6WeQBR1bubmTrJ252Qow0Lojjw2iSi3yH,70717323544,,7254263026702091040,7254263026702091040,
7256332860104835897,你的点赞都是24万多了，总点赞接近600万了[捂脸],,2,2023-07-16 16:37:41,泉,https://www.douyin.com/user/MS4wLjABAAAAfVZ_efJF4BGxhGel2zim4h48J5gAtMRQi5kIMAADCuo,,,7254263026702091040,7254263026702091040,
7256264960808059709,当你在回来的时候，已经几千万赞了,,4,2023-07-16 12:14:14,音子甜心,https://www.douyin.com/user/MS4wLjABAAAAqMFAlAA0OKBUAb12jiu0cBmPM4pFtyE8j_tj9paocspeODDslh4UM3Zx2fQXP2Fs,kuangpangpan,,7254263026702091040,7254263026702091040,
7256241218799338274,现在我看到的是你的点赞有23万[泪奔][泪奔][泪奔],,0,2023-07-16 10:42:10,瑞瑞是只猫,https://www.douyin.com/user/MS4wLjABAAAAxJ52X94fIBGGUfZYX594cV8FS-W03VoW91niZy4S8So,57714184523,,7254263026702091040,7254263026702091040,
7256239922973541132,你自己的赞都23万了，我看的时候这个视频已经500多万赞,,0,2023-07-16 10:37:09,吉吉妈,https://www.douyin.com/user/MS4wLjABAAAAxbWFwMDPLdYSJOuP2JX21tycBe9jQTE_AKR4hE37OSkqr-GlF2GCwxXysqjh5qdC,jiji77589,,7254263026702091040,7254263026702091040,
7256224137709716224,不是，你来太早，现在是571.9万个了[捂脸][捂脸][捂脸],,0,2023-07-16 09:35:52,ོ初心ꦿ࿆,https://www.douyin.com/user/MS4wLjABAAAARTjR5cSeN4k5MPIIRR0vf_5nJR0VL22AfafohyxNi2c,zjl123567,,7254263026702091040,7254263026702091040,
7256123058472338176,569.9w了,,0,2023-07-16 03:04:25,二胖（实体同城流量IP）,https://www.douyin.com/user/MS4wLjABAAAAtsaik-Wxe5OmDCla2diyaZZsWzwYp28mKNL8bxuFKEk,,,7254263026702091040,7254263026702091040,
7256107198219633465,现在是北京时间凌晨两点🕑已经555万个赞[666],,0,2023-07-16 02:02:35,樁子酒树,https://www.douyin.com/user/MS4wLjABAAAAQu9phpF4DjQKW1YchLP1pHCXFtQBtjpgc2r8ig8S5BU,dyo0p14pt58j,,7254263026702091040,7254263026702091040,
7256085045335851831,是不是你刷到的时候太早了，现在561万了,,0,2023-07-16 00:36:11,糊涂图,https://www.douyin.com/user/MS4wLjABAAAAY8lGEUbg12Swy0vpjbmhybZfoQu85z3riuBYGpy5kbFrloANq9rXXpyCOeMRtioR,CYXH9979,,7254263026702091040,7254263026702091040,
7256035487348622136,朋友，不是点赞少，是你点的早[大笑],,0,2023-07-15 21:23:42,wyny,https://www.douyin.com/user/MS4wLjABAAAAYXaMCM6Gvv7G2lnJkl6S2HduYgZ_NOIOBFndXvSKgW8,wynying,,7254263026702091040,7254263026702091040,
7256024260069032739,充钱上热门了，550万赞[抱抱你],,2,2023-07-15 20:40:07,热心难民,https://www.douyin.com/user/MS4wLjABAAAASLIyoXIyWprashAhL_XRwsk-dKXqDyIUoCgPWO3L5CA,,,7254263026702091040,7254263026702091040,
